,Q1,Q2,Q3
0,0.202808,0.202686,0.594506
1,0.187580,0.192820,0.619600
2,0.193310,0.207682,0.599008
3,0.194048,0.184833,0.621119
4,0.210247,0.184845,0.604908
5,0.199098,0.193009,0.607894
6,0.192495,0.604101,0.203404
7,0.190019,0.196458,0.613523
8,0.179818,0.187885,0.632297
9,0.199862,0.200664,0.599474
10,0.189088,0.196323,0.614589
11,0.208109,0.602218,0.189673
12,0.207815,0.588524,0.203661
13,0.203363,0.601420,0.195217
14,0.201332,0.609606,0.189063
15,0.205706,0.193588,0.600706
16,0.181440,0.184325,0.634235
17,0.197998,0.194372,0.607629
18,0.219367,0.206502,0.574130
19,0.194903,0.614865,0.190233
20,0.189144,0.193674,0.617182
21,0.178247,0.209034,0.612718
22,0.193021,0.621749,0.185230
23,0.177822,0.617086,0.205092
24,0.202290,0.183887,0.613823
25,0.213897,0.178015,0.608088
26,0.206581,0.187750,0.605669
27,0.184880,0.615188,0.199932
28,0.174753,0.630204,0.195043
29,0.194693,0.196022,0.609285
30,0.209820,0.197035,0.593145
31,0.212034,0.188987,0.598979
32,0.200253,0.190023,0.609725
33,0.206173,0.199202,0.594625
34,0.199184,0.188478,0.612337
35,0.180047,0.627509,0.192444
36,0.202077,0.172627,0.625296
37,0.185364,0.618541,0.196095
38,0.201908,0.201082,0.597010
39,0.198780,0.189309,0.611911
40,0.200831,0.190672,0.608496
41,0.205725,0.192559,0.601716
42,0.194168,0.191195,0.614637
43,0.207436,0.188300,0.604264
44,0.184749,0.208470,0.606780
45,0.195833,0.620363,0.183804
46,0.182996,0.193153,0.623851
47,0.201615,0.197597,0.600788
48,0.197933,0.182710,0.619356
49,0.215088,0.594596,0.190316
50,0.190153,0.204162,0.605685
51,0.202987,0.188614,0.608398
52,0.188358,0.194062,0.617580
53,0.209429,0.201105,0.589467
54,0.210070,0.193984,0.595945
55,0.200552,0.197449,0.601999
56,0.208081,0.617574,0.174345
57,0.190823,0.191115,0.618062
58,0.183264,0.192049,0.624687
59,0.207874,0.608853,0.183273
60,0.196449,0.194543,0.609008
61,0.184708,0.191034,0.624258
62,0.205100,0.189369,0.605531
63,0.212510,0.183901,0.603589
64,0.197591,0.191548,0.610861
65,0.194777,0.609382,0.195842
66,0.208588,0.195184,0.596228
67,0.205940,0.182392,0.611668
68,0.213488,0.181576,0.604937
69,0.212753,0.590578,0.196669
70,0.187124,0.205271,0.607605
71,0.196428,0.204610,0.598963
72,0.196390,0.186572,0.617039
73,0.212154,0.188565,0.599281
74,0.189887,0.188292,0.621820
75,0.214793,0.591966,0.193241
76,0.204006,0.186080,0.609915
77,0.197543,0.190866,0.611590
78,0.197700,0.602238,0.200062
79,0.177887,0.618214,0.203899
80,0.194530,0.198253,0.607216
81,0.197556,0.206364,0.596080
82,0.197026,0.605458,0.197516
83,0.203079,0.602290,0.194631
84,0.212707,0.615792,0.171501
85,0.204720,0.178714,0.616566
86,0.202179,0.190440,0.607381
87,0.213382,0.595118,0.191500
88,0.197333,0.608415,0.194252
89,0.200674,0.608922,0.190405
90,0.199797,0.195060,0.605143
91,0.190680,0.197689,0.611631
92,0.181071,0.201052,0.617877
93,0.195971,0.616875,0.187153
94,0.196437,0.607070,0.196494
95,0.202510,0.614150,0.183341
96,0.189112,0.203348,0.607540
97,0.204542,0.610344,0.185114
98,0.197483,0.198012,0.604505
99,0.203119,0.615365,0.181516
