,Q1,Q2,Q3
0,0.180635,0.156109,0.663257
1,0.155288,0.663613,0.181098
2,0.158318,0.666035,0.175647
3,0.139644,0.671268,0.189087
4,0.164933,0.192539,0.642528
5,0.156630,0.679670,0.163700
6,0.159084,0.186568,0.654347
7,0.159234,0.662498,0.178268
8,0.150928,0.180748,0.668324
9,0.170693,0.176250,0.653057
10,0.155198,0.670960,0.173841
11,0.137262,0.673062,0.189677
12,0.164265,0.643362,0.192373
13,0.148924,0.180157,0.670919
14,0.164799,0.180513,0.654688
15,0.157816,0.178563,0.663621
16,0.148830,0.169890,0.681280
17,0.154251,0.183846,0.661902
18,0.159512,0.184895,0.655592
19,0.174172,0.177971,0.647858
20,0.156948,0.195308,0.647744
21,0.159953,0.180490,0.659557
22,0.155503,0.187342,0.657155
23,0.152165,0.663115,0.184720
24,0.163910,0.194714,0.641376
25,0.154159,0.187960,0.657880
26,0.148939,0.666265,0.184796
27,0.157162,0.201891,0.640947
28,0.161880,0.654332,0.183789
29,0.174158,0.162137,0.663705
30,0.152894,0.659820,0.187286
31,0.157991,0.182351,0.659658
32,0.155754,0.184409,0.659837
33,0.149102,0.660213,0.190685
34,0.137849,0.201830,0.660321
35,0.160568,0.642792,0.196640
36,0.164815,0.174062,0.661123
37,0.166028,0.195234,0.638739
38,0.173237,0.185930,0.640832
39,0.158268,0.181285,0.660447
40,0.158702,0.180573,0.660726
41,0.159426,0.180407,0.660167
42,0.154972,0.179084,0.665944
43,0.146453,0.180644,0.672903
44,0.163972,0.651832,0.184196
45,0.151673,0.193349,0.654978
46,0.156830,0.182285,0.660886
47,0.179823,0.180012,0.640165
48,0.149434,0.171911,0.678656
49,0.153540,0.640060,0.206400
50,0.141704,0.188360,0.669935
51,0.139467,0.189633,0.670900
52,0.159175,0.177873,0.662951
53,0.147501,0.174188,0.678311
54,0.158702,0.205009,0.636290
55,0.140029,0.196351,0.663620
56,0.159844,0.196892,0.643264
57,0.150474,0.659016,0.190510
58,0.153339,0.183924,0.662738
59,0.170064,0.181872,0.648064
60,0.171624,0.644798,0.183578
61,0.177021,0.190055,0.632925
62,0.148913,0.190211,0.660876
63,0.172896,0.200216,0.626888
64,0.149693,0.188750,0.661557
65,0.162736,0.184776,0.652488
66,0.144785,0.191635,0.663580
67,0.175397,0.641597,0.183006
68,0.147999,0.188580,0.663421
69,0.164068,0.178086,0.657846
70,0.142857,0.188600,0.668543
71,0.142491,0.665313,0.192195
72,0.157033,0.661232,0.181735
73,0.158801,0.189989,0.651210
74,0.153744,0.192331,0.653926
75,0.158087,0.183681,0.658232
76,0.164697,0.661952,0.173352
77,0.151654,0.195387,0.652959
78,0.163972,0.202204,0.633824
79,0.157315,0.653682,0.189003
80,0.138524,0.186599,0.674877
81,0.164520,0.658160,0.177320
82,0.158249,0.665841,0.175910
83,0.139794,0.204084,0.656122
84,0.162892,0.183879,0.653229
85,0.149507,0.198793,0.651700
86,0.153732,0.183382,0.662886
87,0.150747,0.184485,0.664768
88,0.151868,0.658133,0.189999
89,0.164362,0.180357,0.655281
90,0.158100,0.655901,0.186000
91,0.155721,0.663077,0.181202
92,0.158182,0.643476,0.198343
93,0.162888,0.663274,0.173838
94,0.150920,0.173505,0.675575
95,0.147401,0.185457,0.667141
96,0.148639,0.185891,0.665470
97,0.148940,0.677949,0.173111
98,0.146885,0.199492,0.653623
99,0.165339,0.186146,0.648515
