,Q1,Q2,Q3
0,0.201137,0.229125,0.569738
1,0.228067,0.568975,0.202958
2,0.187258,0.203863,0.608879
3,0.211694,0.611172,0.177134
4,0.259872,0.211581,0.528547
5,0.164024,0.223683,0.612293
6,0.198386,0.229233,0.572380
7,0.191500,0.215018,0.593482
8,0.202751,0.539975,0.257274
9,0.199464,0.212955,0.587581
10,0.187413,0.209890,0.602696
11,0.225108,0.197216,0.577676
12,0.194227,0.202419,0.603354
13,0.181815,0.215980,0.602204
14,0.197986,0.215736,0.586279
15,0.195993,0.213285,0.590722
16,0.206314,0.257154,0.536532
17,0.185677,0.212693,0.601630
18,0.155252,0.213763,0.630985
19,0.250045,0.157226,0.592729
20,0.205648,0.235962,0.558390
21,0.219964,0.248833,0.531204
22,0.208355,0.180873,0.610772
23,0.217365,0.214577,0.568057
24,0.192734,0.216445,0.590821
25,0.239143,0.211284,0.549573
26,0.182097,0.187310,0.630592
27,0.209024,0.237944,0.553032
28,0.212613,0.198656,0.588732
29,0.199100,0.224644,0.576256
30,0.213017,0.238666,0.548317
31,0.185363,0.181304,0.633333
32,0.211148,0.229784,0.559068
33,0.216822,0.580806,0.202372
34,0.230855,0.176206,0.592939
35,0.175135,0.175910,0.648955
36,0.201609,0.208417,0.589974
37,0.193238,0.265134,0.541628
38,0.216733,0.242402,0.540865
39,0.211182,0.206104,0.582714
40,0.221880,0.605153,0.172966
41,0.222391,0.194174,0.583436
42,0.195521,0.210389,0.594090
43,0.189450,0.205025,0.605525
44,0.196981,0.613380,0.189638
45,0.182998,0.231568,0.585435
46,0.204856,0.575529,0.219615
47,0.202564,0.198965,0.598471
48,0.233730,0.181366,0.584904
49,0.227124,0.602919,0.169957
50,0.244403,0.224389,0.531208
51,0.225635,0.194604,0.579761
52,0.212826,0.228045,0.559129
53,0.240239,0.503581,0.256180
54,0.195025,0.227817,0.577157
55,0.221417,0.221763,0.556820
56,0.160756,0.614161,0.225083
57,0.182926,0.245806,0.571268
58,0.214257,0.205082,0.580661
59,0.199305,0.223212,0.577483
60,0.232066,0.165334,0.602600
61,0.195986,0.191567,0.612448
62,0.177442,0.182455,0.640102
63,0.221885,0.213978,0.564137
64,0.218605,0.207565,0.573830
65,0.220795,0.185116,0.594089
66,0.214598,0.224260,0.561142
67,0.220766,0.188139,0.591095
68,0.188651,0.215394,0.595955
69,0.204356,0.219320,0.576325
70,0.207365,0.183812,0.608823
71,0.173896,0.179349,0.646755
72,0.203495,0.227546,0.568959
73,0.211429,0.212383,0.576188
74,0.184730,0.239294,0.575975
75,0.225651,0.214205,0.560144
76,0.216618,0.210590,0.572792
77,0.206337,0.221713,0.571949
78,0.238302,0.556852,0.204846
79,0.222570,0.202058,0.575372
80,0.163569,0.604437,0.231994
81,0.265070,0.188042,0.546888
82,0.201897,0.161365,0.636738
83,0.196690,0.599338,0.203973
84,0.230715,0.250529,0.518756
85,0.193854,0.230973,0.575172
86,0.213013,0.193233,0.593753
87,0.201609,0.227489,0.570902
88,0.224050,0.191376,0.584575
89,0.174064,0.612523,0.213413
90,0.231091,0.205078,0.563830
91,0.229801,0.188721,0.581478
92,0.231310,0.193093,0.575597
93,0.185454,0.607759,0.206787
94,0.172663,0.236128,0.591209
95,0.217384,0.230975,0.551641
96,0.202636,0.587348,0.210016
97,0.180965,0.209216,0.609819
98,0.250845,0.229217,0.519938
99,0.213078,0.242768,0.544154
