,Q1,Q2,Q3
0,0.167503,0.202622,0.629875
1,0.148287,0.178521,0.673192
2,0.149149,0.185406,0.665445
3,0.150001,0.196172,0.653827
4,0.144748,0.215360,0.639891
5,0.201393,0.193698,0.604909
6,0.174515,0.172758,0.652726
7,0.173252,0.191499,0.635248
8,0.139331,0.202595,0.658074
9,0.139495,0.642903,0.217602
10,0.179192,0.613199,0.207610
11,0.138509,0.216378,0.645114
12,0.145249,0.213951,0.640801
13,0.139735,0.219431,0.640834
14,0.168588,0.184683,0.646729
15,0.160969,0.188514,0.650517
16,0.161865,0.227326,0.610809
17,0.179680,0.608237,0.212083
18,0.136784,0.224681,0.638535
19,0.149440,0.642808,0.207752
20,0.144217,0.169932,0.685851
21,0.137921,0.153232,0.708847
22,0.138345,0.629183,0.232471
23,0.170314,0.234608,0.595078
24,0.170921,0.193546,0.635532
25,0.155098,0.165393,0.679509
26,0.110638,0.194943,0.694419
27,0.210579,0.181131,0.608290
28,0.130261,0.223028,0.646711
29,0.139015,0.160669,0.700316
30,0.120311,0.193895,0.685793
31,0.138657,0.642224,0.219119
32,0.146847,0.220243,0.632909
33,0.153584,0.236377,0.610039
34,0.139903,0.652288,0.207809
35,0.138970,0.187354,0.673676
36,0.142836,0.237475,0.619690
37,0.141643,0.655772,0.202586
38,0.132790,0.176360,0.690850
39,0.146813,0.183069,0.670118
40,0.155599,0.187531,0.656870
41,0.157013,0.187902,0.655085
42,0.179172,0.210105,0.610723
43,0.126371,0.210757,0.662872
44,0.187279,0.167398,0.645323
45,0.157516,0.225801,0.616683
46,0.162660,0.188672,0.648668
47,0.170834,0.222402,0.606764
48,0.134574,0.196928,0.668498
49,0.137845,0.646509,0.215646
50,0.149548,0.614027,0.236425
51,0.158851,0.179628,0.661521
52,0.166504,0.623710,0.209786
53,0.170148,0.164720,0.665133
54,0.166268,0.164111,0.669620
55,0.174235,0.179144,0.646621
56,0.157606,0.185225,0.657169
57,0.149429,0.162134,0.688437
58,0.149322,0.175768,0.674910
59,0.159073,0.195017,0.645910
60,0.143913,0.191855,0.664232
61,0.174493,0.196874,0.628634
62,0.153286,0.632262,0.214452
63,0.137170,0.179734,0.683096
64,0.149547,0.188391,0.662062
65,0.177692,0.201152,0.621155
66,0.150053,0.199653,0.650293
67,0.144571,0.202758,0.652671
68,0.152694,0.172535,0.674772
69,0.159861,0.214792,0.625347
70,0.160746,0.195890,0.643364
71,0.172261,0.210232,0.617507
72,0.127208,0.203148,0.669644
73,0.174998,0.201268,0.623734
74,0.167262,0.227389,0.605349
75,0.159405,0.661481,0.179114
76,0.153832,0.657316,0.188853
77,0.163707,0.156973,0.679320
78,0.144569,0.201988,0.653443
79,0.148890,0.179393,0.671717
80,0.152250,0.220621,0.627129
81,0.149720,0.222959,0.627321
82,0.147097,0.158810,0.694093
83,0.181405,0.150379,0.668217
84,0.192120,0.605929,0.201951
85,0.184367,0.186772,0.628861
86,0.124086,0.207510,0.668404
87,0.169829,0.177646,0.652524
88,0.142032,0.189501,0.668467
89,0.126956,0.215477,0.657567
90,0.197194,0.194088,0.608719
91,0.161224,0.189228,0.649548
92,0.145795,0.217142,0.637063
93,0.148663,0.175239,0.676098
94,0.119396,0.233291,0.647314
95,0.131551,0.191485,0.676964
96,0.159398,0.192000,0.648602
97,0.159649,0.199299,0.641051
98,0.194045,0.198119,0.607836
99,0.147923,0.184835,0.667242
