,Q1,Q2,Q3
0,0.185164,0.185924,0.628912
1,0.162086,0.692803,0.145111
2,0.201141,0.170670,0.628189
3,0.215706,0.174340,0.609954
4,0.164055,0.171101,0.664844
5,0.180546,0.634513,0.184941
6,0.179992,0.200734,0.619273
7,0.183589,0.176088,0.640323
8,0.211946,0.146520,0.641535
9,0.164733,0.177602,0.657665
10,0.175503,0.659223,0.165274
11,0.169027,0.194957,0.636017
12,0.198272,0.607139,0.194589
13,0.195992,0.634684,0.169324
14,0.176082,0.634789,0.189129
15,0.206005,0.642592,0.151403
16,0.192036,0.154967,0.652997
17,0.191270,0.624121,0.184608
18,0.168832,0.185475,0.645693
19,0.204381,0.186656,0.608963
20,0.210570,0.143368,0.646062
21,0.210707,0.159121,0.630172
22,0.182436,0.141647,0.675917
23,0.157615,0.161906,0.680479
24,0.195674,0.635076,0.169250
25,0.169939,0.150075,0.679986
26,0.180296,0.636113,0.183591
27,0.203169,0.637351,0.159480
28,0.176000,0.675184,0.148816
29,0.172434,0.193648,0.633918
30,0.204580,0.606829,0.188591
31,0.186743,0.160283,0.652974
32,0.172074,0.184367,0.643560
33,0.164637,0.163466,0.671897
34,0.189799,0.161865,0.648336
35,0.179455,0.206856,0.613689
36,0.192574,0.145371,0.662055
37,0.198892,0.178599,0.622509
38,0.225032,0.138001,0.636967
39,0.181228,0.184126,0.634646
40,0.181565,0.175803,0.642633
41,0.180475,0.208203,0.611322
42,0.185906,0.608051,0.206043
43,0.200224,0.173440,0.626336
44,0.167520,0.175216,0.657264
45,0.193232,0.649112,0.157656
46,0.192060,0.174725,0.633216
47,0.199939,0.154921,0.645140
48,0.208420,0.173128,0.618451
49,0.207301,0.172065,0.620635
50,0.183738,0.154189,0.662074
51,0.189445,0.128623,0.681932
52,0.189358,0.174429,0.636213
53,0.206750,0.153888,0.639362
54,0.189457,0.177551,0.632992
55,0.186991,0.153885,0.659124
56,0.187325,0.627395,0.185281
57,0.193961,0.187482,0.618557
58,0.188471,0.673243,0.138286
59,0.195274,0.163443,0.641283
60,0.189530,0.196312,0.614158
61,0.193111,0.144517,0.662373
62,0.182483,0.163799,0.653718
63,0.197992,0.145641,0.656367
64,0.182957,0.662137,0.154905
65,0.186491,0.647844,0.165665
66,0.140423,0.688754,0.170823
67,0.166360,0.683975,0.149665
68,0.206048,0.584982,0.208970
69,0.194004,0.169960,0.636035
70,0.199129,0.179910,0.620961
71,0.208203,0.176947,0.614850
72,0.170061,0.211683,0.618257
73,0.181540,0.175299,0.643161
74,0.190859,0.170509,0.638632
75,0.167861,0.170091,0.662049
76,0.191784,0.168840,0.639375
77,0.197970,0.145748,0.656282
78,0.187123,0.634652,0.178225
79,0.240528,0.153339,0.606133
80,0.213660,0.164465,0.621876
81,0.202184,0.141758,0.656058
82,0.179594,0.631558,0.188848
83,0.193470,0.646344,0.160186
84,0.190611,0.162593,0.646796
85,0.157794,0.176630,0.665576
86,0.199878,0.180816,0.619306
87,0.196336,0.160982,0.642682
88,0.199995,0.168216,0.631789
89,0.197224,0.218897,0.583879
90,0.166063,0.178126,0.655812
91,0.156775,0.204034,0.639191
92,0.214587,0.611241,0.174172
93,0.177051,0.186794,0.636156
94,0.178136,0.641114,0.180750
95,0.148108,0.169887,0.682005
96,0.183273,0.181638,0.635089
97,0.182281,0.629460,0.188259
98,0.184449,0.646170,0.169381
99,0.176434,0.175742,0.647825
