,Q1,Q2,Q3
0,0.119332,0.145936,0.734732
1,0.145619,0.694873,0.159507
2,0.152176,0.164799,0.683024
3,0.153121,0.160386,0.686493
4,0.158488,0.708796,0.132716
5,0.159358,0.677618,0.163024
6,0.154374,0.152562,0.693064
7,0.155370,0.158965,0.685665
8,0.132471,0.689368,0.178162
9,0.149340,0.149608,0.701052
10,0.127902,0.145804,0.726294
11,0.169472,0.689073,0.141455
12,0.110676,0.154815,0.734509
13,0.166724,0.147071,0.686205
14,0.147177,0.706968,0.145855
15,0.133437,0.174740,0.691822
16,0.127542,0.719960,0.152498
17,0.144489,0.147078,0.708433
18,0.160448,0.121691,0.717861
19,0.143137,0.145577,0.711287
20,0.121287,0.136489,0.742225
21,0.128255,0.152562,0.719182
22,0.136388,0.160389,0.703224
23,0.155694,0.156229,0.688078
24,0.147469,0.150207,0.702324
25,0.144633,0.677863,0.177504
26,0.172502,0.153383,0.674115
27,0.152278,0.134557,0.713165
28,0.134129,0.137330,0.728541
29,0.130008,0.157228,0.712764
30,0.149910,0.152403,0.697686
31,0.163465,0.129459,0.707076
32,0.153149,0.151369,0.695482
33,0.151406,0.167331,0.681263
34,0.124346,0.710619,0.165035
35,0.173578,0.142027,0.684396
36,0.138053,0.706633,0.155314
37,0.162959,0.168063,0.668978
38,0.122254,0.164078,0.713669
39,0.129844,0.700241,0.169916
40,0.150031,0.168666,0.681303
41,0.144553,0.153932,0.701515
42,0.136475,0.176430,0.687096
43,0.135117,0.149180,0.715703
44,0.154791,0.123592,0.721617
45,0.174559,0.133680,0.691761
46,0.162904,0.152804,0.684292
47,0.142865,0.161515,0.695620
48,0.147712,0.149677,0.702612
49,0.189329,0.149221,0.661450
50,0.143809,0.152643,0.703548
51,0.142160,0.129484,0.728356
52,0.135841,0.174376,0.689782
53,0.157920,0.146032,0.696048
54,0.152493,0.151166,0.696341
55,0.158192,0.706653,0.135154
56,0.143876,0.676714,0.179410
57,0.136625,0.148964,0.714411
58,0.151925,0.704430,0.143645
59,0.124988,0.711759,0.163253
60,0.135944,0.691842,0.172215
61,0.144368,0.692979,0.162653
62,0.144553,0.152254,0.703193
63,0.148866,0.146612,0.704522
64,0.162762,0.159271,0.677966
65,0.124890,0.158114,0.716996
66,0.156523,0.711889,0.131588
67,0.158458,0.154530,0.687012
68,0.135522,0.138224,0.726254
69,0.145628,0.181443,0.672929
70,0.142587,0.167571,0.689842
71,0.147627,0.155364,0.697008
72,0.119805,0.128889,0.751306
73,0.136683,0.702169,0.161148
74,0.148744,0.147253,0.704003
75,0.163706,0.698835,0.137459
76,0.147148,0.658884,0.193968
77,0.147026,0.701274,0.151701
78,0.146499,0.176605,0.676896
79,0.158745,0.148646,0.692609
80,0.128685,0.173171,0.698143
81,0.132251,0.181020,0.686729
82,0.144475,0.161766,0.693759
83,0.124881,0.154657,0.720461
84,0.138136,0.727706,0.134158
85,0.130905,0.161074,0.708021
86,0.173738,0.146311,0.679951
87,0.143404,0.158131,0.698466
88,0.144782,0.163619,0.691599
89,0.165856,0.139028,0.695116
90,0.143643,0.133587,0.722770
91,0.166178,0.160706,0.673116
92,0.149015,0.693856,0.157129
93,0.144466,0.141771,0.713763
94,0.160226,0.682497,0.157277
95,0.155824,0.162381,0.681795
96,0.156286,0.147601,0.696113
97,0.151389,0.148616,0.699995
98,0.095693,0.214328,0.689979
99,0.150731,0.155971,0.693299
