prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,q2,q3,sco,lsd,lsdonly,replicate
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, False, 1
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 2
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 3
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 4
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 5
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 6
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 7
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 8
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 9
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 10
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 11
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, False, 12
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 13
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 14
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 15
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 16
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 17
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 18
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 19
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 20
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 21
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 22
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 23
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 24
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 25
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 26
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 27
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 28
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 29
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 30
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 31
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 32
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 33
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 34
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 35
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 36
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 37
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 38
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 39
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 40
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0.67, 0.17, 0.17,False, False, False, 41
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0.33, 0.33, 0.33,False, False, False, 42
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 43
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 44
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 45
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 46
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 47
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 48
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 49
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 50
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 51
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 52
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 53
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 54
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 55
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 56
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 57
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 58
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 59
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 60
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 61
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 62
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 63
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, True, 64
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 65
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 66
